,Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
684,0,3,1,19.0,0,0,10.1708
685,0,3,1,18.0,0,0,7.7958
686,1,1,0,15.0,0,1,211.3375
687,1,1,1,31.0,1,0,57.0
688,1,3,0,4.0,0,1,13.4167
689,1,3,1,37.0,0,0,56.4958
690,0,3,1,25.0,0,0,7.225
691,0,1,1,60.0,0,0,26.55
692,0,2,1,52.0,0,0,13.5
693,0,3,1,44.0,0,0,8.05
694,1,3,0,19.0,0,0,7.7333
695,0,1,1,49.0,1,1,110.8833
696,0,3,1,42.0,0,0,7.65
697,1,1,0,18.0,1,0,227.525
698,1,1,1,35.0,0,0,26.2875
699,0,3,0,18.0,0,1,14.4542
700,0,3,1,25.0,0,0,7.7417
701,0,3,1,26.0,1,0,7.8542
702,0,2,1,39.0,0,0,26.0
703,1,2,0,45.0,0,0,13.5
704,1,1,1,42.0,0,0,26.2875
705,1,1,0,22.0,0,0,151.55
706,1,3,1,4.0,1,1,15.2458
707,1,1,0,24.0,0,0,49.5042
708,0,1,1,41.0,0,0,26.55
709,1,1,1,48.0,1,0,52.0
710,0,3,1,29.0,0,0,9.4833
711,0,2,1,52.0,0,0,13.0
712,0,3,1,19.0,0,0,7.65
713,1,1,0,38.0,0,0,227.525
714,1,2,0,27.0,0,0,10.5
715,0,3,1,33.0,0,0,7.775
716,1,2,0,6.0,0,1,33.0
717,0,3,1,17.0,1,0,7.0542
718,0,2,1,34.0,0,0,13.0
719,0,2,1,50.0,0,0,13.0
720,1,1,1,27.0,1,0,53.1
721,0,3,1,20.0,0,0,8.6625
722,1,2,0,30.0,3,0,21.0
723,1,3,0,28.0,0,0,7.7375
724,0,2,1,25.0,1,0,26.0
725,0,3,0,25.0,1,0,7.925
726,1,1,0,29.0,0,0,211.3375
727,0,3,1,11.0,0,0,18.7875
728,0,2,1,41.0,0,0,0.0
729,0,2,1,23.0,0,0,13.0
730,0,2,1,23.0,0,0,13.0
731,0,3,1,28.5,0,0,16.1
732,0,3,0,48.0,1,3,34.375
733,1,1,1,35.0,0,0,512.3292
734,0,3,1,20.0,0,0,7.8958
735,0,3,1,32.0,0,0,7.8958
736,1,1,1,45.0,0,0,30.0
737,0,1,1,36.0,1,0,78.85
738,1,1,0,21.0,2,2,262.375
739,0,3,1,24.0,1,0,16.1
740,1,3,1,31.0,0,0,7.925
741,0,1,1,70.0,1,1,71.0
742,0,3,1,16.0,1,1,20.25
743,1,2,0,30.0,0,0,13.0
744,0,1,1,19.0,1,0,53.1
745,0,3,1,31.0,0,0,7.75
746,1,2,0,4.0,1,1,23.0
747,1,3,1,6.0,0,1,12.475
748,0,3,1,33.0,0,0,9.5
749,0,3,1,23.0,0,0,7.8958
750,1,2,0,48.0,1,2,65.0
751,1,2,1,0.67,1,1,14.5
752,0,3,1,28.0,0,0,7.7958
753,0,2,1,18.0,0,0,11.5
754,0,3,1,34.0,0,0,8.05
755,1,1,0,33.0,0,0,86.5
756,0,3,1,23.0,0,0,14.5
757,0,3,1,41.0,0,0,7.125
758,1,3,1,20.0,0,0,7.2292
759,1,1,0,36.0,1,2,120.0
760,0,3,1,16.0,0,0,7.775
761,1,1,0,51.0,1,0,77.9583
762,0,1,1,46.0,0,0,39.6
763,0,3,0,30.5,0,0,7.75
764,0,3,1,28.0,1,0,24.15
765,0,3,1,32.0,0,0,8.3625
766,0,3,1,24.0,0,0,9.5
767,0,3,1,48.0,0,0,7.8542
768,0,2,0,57.0,0,0,10.5
769,0,3,1,29.0,0,0,7.225
770,1,2,0,54.0,1,3,23.0
771,0,3,1,18.0,0,0,7.75
772,0,3,1,20.0,0,0,7.75
773,1,3,0,5.0,0,0,12.475
774,0,3,1,22.0,0,0,7.7375
775,1,1,0,43.0,0,1,211.3375
776,1,3,0,13.0,0,0,7.2292
777,1,1,0,17.0,1,0,57.0
778,0,1,1,29.0,0,0,30.0
779,0,3,1,35.0,1,2,23.45
780,0,3,1,25.0,0,0,7.05
781,0,3,1,25.0,0,0,7.25
782,1,3,0,18.0,0,0,7.4958
783,0,3,1,8.0,4,1,29.125
784,1,3,1,1.0,1,2,20.575
785,0,1,1,46.0,0,0,79.2
786,0,3,1,20.0,0,0,7.75
787,0,2,1,16.0,0,0,26.0
788,0,3,0,21.0,8,2,69.55
789,0,1,1,43.0,0,0,30.6958
790,0,3,1,25.0,0,0,7.8958
791,0,2,1,39.0,0,0,13.0
792,1,1,0,49.0,0,0,25.9292
793,1,3,0,31.0,0,0,8.6833
794,0,3,1,30.0,0,0,7.2292
795,0,3,0,30.0,1,1,24.15
796,0,2,1,34.0,0,0,13.0
797,1,2,0,31.0,1,1,26.25
798,1,1,1,11.0,1,2,120.0
799,1,3,1,0.42,0,1,8.5167
800,1,3,1,27.0,0,0,6.975
801,0,3,1,31.0,0,0,7.775
802,0,1,1,39.0,0,0,0.0
803,0,3,0,18.0,0,0,7.775
804,0,2,1,39.0,0,0,13.0
805,1,1,0,33.0,1,0,53.1
806,0,3,1,26.0,0,0,7.8875
807,0,3,1,39.0,0,0,24.15
808,0,2,1,35.0,0,0,10.5
809,0,3,0,6.0,4,2,31.275
810,0,3,1,30.5,0,0,8.05
811,0,1,1,39.0,0,0,0.0
812,0,3,0,23.0,0,0,7.925
813,0,2,1,31.0,1,1,37.0042
814,0,3,1,43.0,0,0,6.45
815,0,3,1,10.0,3,2,27.9
816,1,1,0,52.0,1,1,93.5
817,1,3,1,27.0,0,0,8.6625
818,0,1,1,38.0,0,0,0.0
819,1,3,0,27.0,0,1,12.475
820,0,3,1,2.0,4,1,39.6875
821,0,3,1,36.0,0,0,6.95
822,0,3,1,23.0,0,0,56.4958
823,1,2,1,1.0,0,2,37.0042
824,1,3,1,19.0,0,0,7.75
825,1,1,0,62.0,0,0,80.0
826,1,3,0,15.0,1,0,14.4542
827,1,2,1,0.83,1,1,18.75
828,0,3,1,30.0,0,0,7.2292
829,0,3,1,23.0,0,0,7.8542
830,0,3,1,18.0,0,0,8.3
831,1,1,0,39.0,1,1,83.1583
832,0,3,1,21.0,0,0,8.6625
833,0,3,1,20.0,0,0,8.05
834,1,3,1,32.0,0,0,56.4958
835,1,1,1,29.0,0,0,29.7
836,0,3,1,20.0,0,0,7.925
837,0,2,1,16.0,0,0,10.5
838,1,1,0,30.0,0,0,31.0
839,0,3,1,34.5,0,0,6.4375
840,0,3,1,17.0,0,0,8.6625
841,0,3,1,42.0,0,0,7.55
842,0,3,1,18.0,8,2,69.55
843,0,3,1,35.0,0,0,7.8958
844,0,2,1,28.0,0,1,33.0
845,1,1,0,40.0,1,0,89.1042
846,0,3,1,4.0,4,2,31.275
847,0,3,1,74.0,0,0,7.775
848,0,3,0,9.0,1,1,15.2458
849,1,1,0,16.0,0,1,39.4
850,0,2,0,44.0,1,0,26.0
851,1,3,0,18.0,0,1,9.35
852,1,1,0,45.0,1,1,164.8667
853,1,1,1,51.0,0,0,26.55
854,1,3,0,24.0,0,3,19.2583
855,0,3,1,30.0,0,0,7.2292
856,0,3,1,41.0,2,0,14.1083
857,0,2,1,21.0,1,0,11.5
858,1,1,0,48.0,0,0,25.9292
859,0,3,0,14.0,8,2,69.55
860,0,2,1,24.0,0,0,13.0
861,1,2,0,42.0,0,0,13.0
862,1,2,0,27.0,1,0,13.8583
863,0,1,1,31.0,0,0,50.4958
864,0,3,1,23.0,0,0,9.5
865,1,3,1,4.0,1,1,11.1333
866,0,3,1,26.0,0,0,7.8958
867,1,1,0,47.0,1,1,52.5542
868,0,1,1,33.0,0,0,5.0
869,0,3,1,47.0,0,0,9.0
870,1,2,0,28.0,1,0,24.0
871,1,3,0,15.0,0,0,7.225
872,0,3,1,20.0,0,0,9.8458
873,0,3,1,19.0,0,0,7.8958
874,0,3,1,23.0,0,0,7.8958
875,1,1,0,56.0,0,1,83.1583
876,1,2,0,25.0,0,1,26.0
877,0,3,1,33.0,0,0,7.8958
878,0,3,0,22.0,0,0,10.5167
879,0,2,1,28.0,0,0,10.5
880,0,3,1,25.0,0,0,7.05
881,0,3,0,39.0,0,5,29.125
882,0,2,1,27.0,0,0,13.0
883,1,1,0,19.0,0,0,30.0
884,0,3,0,7.0,1,2,23.45
885,1,1,1,26.0,0,0,30.0
886,0,3,1,32.0,0,0,7.75
